LONGITUDE,SITEAMP
135.4844381,0.838247092
135.4464333,0.867896837
135.4365964,0.609301389
135.470105,0.567100491
135.5024392,0.915536082
135.4924531,0.68146897
135.4238839,0.622259494
135.4907064,0.775902386
135.4997325,0.605038985
135.4644717,0.50362949
135.4990336,0.702101083
135.5154014,0.705514941
135.4490681,0.570987664
135.4552625,0.559134677
135.4888144,0.623553276
135.4638986,0.616274068
135.4898694,0.768622794
135.5192969,1.021874919
135.4981086,0.586485413
135.4535114,0.628980953
135.4965269,0.685616052
135.5370564,0.736841515
135.4399792,0.582222431
135.4653322,0.511325122
135.4858386,0.687343538
135.4385692,0.664985868
135.5041022,0.610894667
135.4441872,0.631956224
135.4661214,0.642939114
135.4978839,0.563774225
135.4929742,0.602315505
135.4826636,0.7073282
135.5329097,0.638708437
135.5354875,0.63123504
135.5326564,0.666175659
135.4568275,0.760984795
135.5504114,0.932496101
135.4333797,0.638851517